speciesID,parentID,t1,p1,seedPerTick,t2,p2,adultPerTick,CNDD,HNDD,Adult,Juvenile
1,-1,9,0.8374188124134113,0.9804785098247425,56,0.5012186592406868,0.9877415963143791,0,0,0,0
2,-1,9,0.898763776,0.9882105969454902,56,0.5939136250230441,0.9907391945933189,0,0,0,0
3,-1,9,0.6492616577355733,0.9531423152373723,56,0.42462699367257273,0.9848209496075185,0,0,0,0
4,-1,9,0.7808134750793619,0.9728834399794584,56,0.5335619370387471,0.9888451794506151,0,0,0,0
5,-1,9,0.7443093071062482,0.9677214851861594,56,0.4527196439119388,0.9859481929163689,0,0,0,0
6,-1,9,0.5726800551045491,0.9399426144587545,56,0.8189016237884406,0.996438655,0,0,0,0
7,-1,9,0.6243108744966033,0.9490012110288731,56,0.5603320371067592,0.989709991,0,0,0,0
8,-1,9,0.6142561449683551,0.9472907113789026,56,0.5325887218238514,0.9888129425247074,0,0,0,0
9,-1,9,0.4954024442985981,0.9249248771487182,56,0.6858828219198404,0.9932896073556927,0,0,0,0
10,-1,9,0.5053807111494129,0.926976534,56,0.5411310616385803,0.9890939467595821,0,0,0,0
11,-1,9,0.7089924511862146,0.9625086107503531,56,0.7758471990305131,0.9954781173747491,0,0,0,0
12,-1,9,0.3740930681428328,0.8965061964510881,56,0.6923857655166222,0.9934569990108169,0,0,0,0
13,-1,9,0.42559294236624823,0.9094465033016569,56,0.6489144552913794,0.9923073414607935,0,0,0,0
14,-1,9,0.5918724122564394,0.9433916127945956,56,0.557170932,0.9896100098005322,0,0,0,0
15,-1,9,0.7025708132093843,0.9615360403071816,56,0.6080701566018708,0.9911560361368603,0,0,0,0
16,-1,9,0.5854801282145555,0.9422540605972367,56,0.772371741,0.9953983111567748,0,0,0,0
17,-1,9,0.4531887540384509,0.9158171911651154,56,0.683766249,0.9932347884870648,0,0,0,0
18,-1,9,0.41948799593469727,0.9079876648805569,56,0.4336008415681649,0.9851888008946569,0,0,0,0
19,-1,9,0.31469350993339795,0.8794471666104149,56,0.5244924879099576,0.9885424969374731,0,0,0,0
20,-1,9,0.8811740393706546,0.9860427488894025,56,0.585583955,0.9904893416289569,0,0,0,0
21,-1,9,0.5848807159342856,0.9421468255665187,56,0.40132969087855547,0.9838291040640312,0,0,0,0
22,-1,9,0.5868351444501191,0.9424961141992598,56,0.5533551539355472,0.9894885771429203,0,0,0,0
23,-1,9,0.5304323983123886,0.9319730158305453,56,0.6693437903100539,0.9928567518632481,0,0,0,0
24,-1,9,0.615842022,0.947562145,56,0.49587778676942235,0.9875526567258686,0,0,0,0
25,-1,9,0.6828552367707893,0.9584998993119497,56,0.5324291552266452,0.9888076514969713,0,0,0,0
26,-1,9,0.7229748012406629,0.9645994675022391,56,0.649865007,0.9923332793393415,0,0,0,0
27,-1,9,0.6672993162037313,0.9560488326205872,56,0.5432218046591447,0.9891620589783523,0,0,0,0
28,-1,9,0.6087067563870352,0.9463359680079712,56,0.6250366743652659,0.9916432393419627,0,0,0,0
29,-1,9,0.7486772416401364,0.9683508471882475,56,0.6578019438398272,0.9925484126615027,0,0,0,0
30,-1,9,0.6554494479795014,0.9541473905266663,56,0.663031429,0.9926887707687191,0,0,0,0
31,-1,9,0.5405426738647638,0.9339302508962155,56,0.7472623393802811,0.9948110279531583,0,0,0,0
32,-1,9,0.3942053927944158,0.9017378193214634,56,0.8008294263585418,0.9960416531073193,0,0,0,0
33,-1,9,0.6926950737031836,0.9600248072507918,56,0.3897997812822966,0.9833171185234701,0,0,0,0
34,-1,9,0.6761450977997334,0.9574487684277316,56,0.5054001040810291,0.9878881448139755,0,0,0,0
35,-1,9,0.6336122337534069,0.9505618820078923,56,0.6507151803449917,0.9923564466057525,0,0,0,0
36,-1,9,0.43612320228114293,0.9119196562034096,56,0.604746718,0.9910590395851152,0,0,0,0
37,-1,9,0.6791437156478353,0.9579196370791417,56,0.6277542500810108,0.9917200670686362,0,0,0,0
38,-1,9,0.48841114033730254,0.9234653783203409,56,0.7476817220226687,0.9948209950862179,0,0,0,0
39,-1,9,0.590664899,0.9431775666437109,56,0.6541240898298771,0.9924490419955061,0,0,0,0
40,-1,9,0.3501563797014675,0.8899435284403983,56,0.7100209044079115,0.9939032882154275,0,0,0,0
41,-1,9,0.6417116217055535,0.9519043747248191,56,0.7800896744428822,0.9955750618958605,0,0,0,0
42,-1,9,0.7589813199564601,0.9698226952579765,56,0.6115105170111306,0.9912558981773635,0,0,0,0
43,-1,9,0.6289992301355936,0.9497904323510025,56,0.6250186078890242,0.991642727,0,0,0,0
44,-1,9,0.562213399,0.9380181538664686,56,0.5744838564580073,0.9901509073984455,0,0,0,0
45,-1,9,0.7781704112162123,0.9725169746137138,56,0.49259790198168363,0.9874356338713549,0,0,0,0
46,-1,9,0.7677716154619995,0.9710643395619717,56,0.6244046743320103,0.9916253252514124,0,0,0,0
47,-1,9,0.5616338245252175,0.9379106618969216,56,0.6586866611072107,0.9925722351071226,0,0,0,0
48,-1,9,0.39511382981365356,0.9019684757935115,56,0.6054959328831802,0.9910809515051658,0,0,0,0
49,-1,9,0.7319936596578513,0.9659291171127263,56,0.7879698809253566,0.9957537656404214,0,0,0,0
50,-1,9,0.7501238326627011,0.9685585625912855,56,0.5834960223981446,0.9904261658439244,0,0,0,0
51,-1,9,0.6878484284657864,0.959276132,56,0.7751740826455764,0.9954626881980234,0,0,0,0
52,-1,9,0.5975610806780148,0.9443948048291633,56,0.4629055336022776,0.9863400083173025,0,0,0,0
53,-1,9,0.7187958388717783,0.9639783580425293,56,0.668544629,0.9928355712522484,0,0,0,0
54,-1,9,0.7371535826811006,0.9666833091110529,56,0.6989936721798385,0.9936255182378764,0,0,0,0
55,-1,9,0.8674067165816094,0.984318992,56,0.6736187765335947,0.9929696340797399,0,0,0,0
56,-1,9,0.5148711194361785,0.9288947397717447,56,0.7775015421057145,0.9955159824407596,0,0,0,0
57,-1,9,0.7339539045526786,0.9662161881810531,56,0.46405079966968305,0.9863835319902559,0,0,0,0
58,-1,9,0.8886398337827472,0.9869675275791896,56,0.4742375168836855,0.9867660809187008,0,0,0,0
59,-1,9,0.5338269791305288,0.9326338384327408,56,0.5330264757175892,0.9888274499029148,0,0,0,0
60,-1,9,0.6633495268768339,0.9554184037697424,56,0.5797277506351548,0.990311583,0,0,0,0
61,-1,9,0.7528942521840303,0.9689553739944246,56,0.6776734531000465,0.9930760506966012,0,0,0,0
62,-1,9,0.585071216,0.9421809167324108,56,0.6624752783074461,0.9926738955960495,0,0,0,0
63,-1,9,0.5568456005344268,0.9370188125345825,56,0.6607370667288032,0.9926273250074626,0,0,0,0
64,-1,9,0.4196241053016648,0.9080203946763562,56,0.5056005328143514,0.9878951393649272,0,0,0,0
65,-1,9,0.6633689120783973,0.9554215059951465,56,0.7643185539285672,0.9952120236974971,0,0,0,0
66,-1,9,0.5847082945335748,0.942115961,56,0.640283062,0.9920700925622983,0,0,0,0
67,-1,9,0.5944209132942112,0.9438420938822074,56,0.4362988148230833,0.9852979337106191,0,0,0,0
68,-1,9,0.6807944511899637,0.9581780615824472,56,0.6394279221217241,0.992046417,0,0,0,0
69,-1,9,0.5953685203137611,0.9440091581282299,56,0.6092069485947756,0.9911890946197925,0,0,0,0
70,-1,9,0.5727187022113142,0.9399496622127049,56,0.6680097355680765,0.9928213807772615,0,0,0,0
71,-1,9,0.2867232786180387,0.870398444,56,0.7904884149817574,0.9958105098282856,0,0,0,0
72,-1,9,0.8437438490141353,0.9812986016537202,56,0.8974764883481896,0.9980702865138734,0,0,0,0
73,-1,9,0.6087484408085294,0.9463431683856375,56,0.7052700147957056,0.9937841390749153,0,0,0,0
74,-1,9,0.5893209540663119,0.9429388784938829,56,0.5384573387024165,0.989006465,0,0,0,0
75,-1,9,0.6287572385779058,0.9497498245330618,56,0.7230825361740011,0.994226873,0,0,0,0
76,-1,9,0.5870192186886536,0.9425289580007936,56,0.651671782,0.992382479,0,0,0,0
77,-1,9,0.6427144823370908,0.9520695518997714,56,0.6363706597480806,0.9919615169565685,0,0,0,0
78,-1,9,0.6887450017717206,0.9594149810126297,56,0.8024793493647603,0.9960782609479187,0,0,0,0
79,-1,9,0.5313958902432158,0.9321609598543644,56,0.6253851592674528,0.99165311,0,0,0,0
